name	phylum	class	order	family	genus	species
Cluster_65	Zygomycota	Mucoromycotina	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_66	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_67	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_68	Basidiomycota	undefined	Agaricomycetes	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_687	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus
Cluster_688	Glomeromycota	undefined	Glomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus
Cluster_69	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_7	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_70	Ascomycota	Pezizomycotina	Leotiomycetes	Helotiales	Multi-affiliation	Multi-affiliation
Cluster_707	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_71	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium
Cluster_713	Zygomycota	Mucoromycotina	undefined	undefined	undefined	undefined
Cluster_719	Ascomycota	Pezizomycotina	Sordariomycetes	Xylariales	undefined	Microdochium
Cluster_72	Ascomycota	Pezizomycotina	Laboulbeniomycetes	Pyxidiophorales	Pyxidiophoraceae	Pyxidiophora
Cluster_722	Ascomycota	Pezizomycotina	Dothideomycetes	Capnodiales	Multi-affiliation	Multi-affiliation
Cluster_73	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Multi-affiliation	Multi-affiliation
Cluster_733	Ascomycota	Pezizomycotina	Leotiomycetes	undefined	Erysiphaceae	Blumeria
Cluster_736	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_74	Ascomycota	undefined	undefined	undefined	undefined	Lecophagus
Cluster_75	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_753	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella
Cluster_76	Basidiomycota	undefined	Tremellomycetes	Tremellales	undefined	Dioszegia
Cluster_774	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_79	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Pyronemataceae	Lamprospora
Cluster_794	Chytridiomycota	undefined	Chytridiomycetes	Spizellomycetales	Olpidiaceae	Olpidium
Cluster_8	Glomeromycota	undefined	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
Cluster_80	Zygomycota	Entomophthoromycotina	undefined	Entomophthorales	Basidiobolaceae	Basidiobolus
Cluster_81	Ascomycota	Pezizomycotina	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus
Cluster_815	Ascomycota	undefined	undefined	undefined	undefined	Tetracladium
Cluster_82	Basidiomycota	Pucciniomycotina	undefined	Leucosporidiales	undefined	Leucosporidium
Cluster_820	Glomeromycota	undefined	Glomeromycetes	Glomerales	Glomeraceae	undefined
Cluster_821	Zygomycota	Mucoromycotina	undefined	Mortierellales	Mortierellaceae	Mortierella
Cluster_828	Ascomycota	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation	Multi-affiliation
